domain,rmm_tool,pattern,regex
fastviewer.com,FastViewer,*.fastviewer.com,^(?:.*\.fastviewer\.com)$
fastviewer.com,FastViewer,fastviewer.com,^(?:fastviewer\.com)$
fdcollab.com,Freshservice,*.fdcollab.com,^(?:.*\.fdcollab\.com)$
fixme.it,FixMe.it,*.fixme.it,^(?:.*\.fixme\.it)$
fixme.it,FixMe.it,fixme.it,^(?:fixme\.it)$
fleetdeck.io,FleetDeck.io,*.fleetdeck.io,^(?:.*\.fleetdeck\.io)$
fleetdeck.io,FleetDeck.io,fleetdeck.io,^(?:fleetdeck\.io)$
fortra.com,Fortra,fortra.com,^(?:fortra\.com)$
forum.glpi-project.org,GLPI Agent,forum.glpi-project.org,^(?:forum\.glpi-project\.org)$
freshasset.com,Freshservice,freshasset.com,^(?:freshasset\.com)$
freshchat.com,Freshservice,*.freshchat.com,^(?:.*\.freshchat\.com)$
freshcloud.io,Freshservice,*.freshcloud.io,^(?:.*\.freshcloud\.io)$
freshconnect.io,Freshservice,*.freshconnect.io,^(?:.*\.freshconnect\.io)$
freshdev.io,Freshservice,*.freshdev.io,^(?:.*\.freshdev\.io)$
freshservice.com,Freshservice,*.freshservice.com,^(?:.*\.freshservice\.com)$
freshservice.com,Freshservice,freshservice.com,^(?:freshservice\.com)$
freshworks.com,Freshservice,*.freshworks.com,^(?:.*\.freshworks\.com)$
freshworksapi.com,Freshservice,*.freshworksapi.com,^(?:.*\.freshworksapi\.com)$
fstools.freshasset.com,Freshservice,fstools.freshasset.com,^(?:fstools\.freshasset\.com)$
fstools.freshservice.com,Freshservice,fstools.freshservice.com,^(?:fstools\.freshservice\.com)$
gateway.miradore.com,Miradore,gateway.miradore.com,^(?:gateway\.miradore\.com)$
gateway.zohoassist.com,Zoho Assist,gateway.zohoassist.com,^(?:gateway\.zohoassist\.com)$
gatherplace.com,GatherPlace-desktop sharing,*.gatherplace.com,^(?:.*\.gatherplace\.com)$
gatherplace.com,GatherPlace-desktop sharing,gatherplace.com,^(?:gatherplace\.com)$
gatherplace.net,GatherPlace-desktop sharing,*.gatherplace.net,^(?:.*\.gatherplace\.net)$
gd.bj2.xyz,Nezha,gd.bj2.xyz,^(?:gd\.bj2\.xyz)$
geo.netsupportsoftware.com,NetSupport Manager,geo.netsupportsoftware.com,^(?:geo\.netsupportsoftware\.com)$
gerwconline.blob.core.windows.net,Miradore,gerwconline.blob.core.windows.net,^(?:gerwconline\.blob\.core\.windows\.net)$
get.helpwire.app,HelpWire,get.helpwire.app,^(?:get\.helpwire\.app)$
getalphacontrol.com,Atera,getalphacontrol.com,^(?:getalphacontrol\.com)$
getgo.com,GoToAssist,*.getgo.com,^(?:.*\.getgo\.com)$
getscreen.me,GetScreen,*.getscreen.me,^(?:.*\.getscreen\.me)$
getscreen.me,GetScreen,getscreen.me,^(?:getscreen\.me)$
getscreen.me,GetScreen,px-*.getscreen.me,^(?:px-.*\.getscreen\.me)$
ghcr.io,Komari,ghcr.io,^(?:ghcr\.io)$
